"","STU_ID","X1PAR1EDU","X1PAR2EDU","X1MTHID","X2MTHID"
"306",10336,3,-7,-0.57,-0.42
"307",10338,3,2,0.03,0.12
"308",10339,4,-7,-1.73,0.12
"309",10340,-8,-8,-0.57,-0.42
"310",10341,1,2,1.19,-1.54
"311",10342,3,4,-0.57,0.12
"312",10343,-8,-8,0.6,-8
"313",10344,2,2,-0.57,-1.54
"314",10345,7,7,0,-8
"315",10346,2,4,0.6,0.16
"316",10347,3,1,-0.57,-0.42
"317",10348,4,3,-0.57,1.82
"318",10349,1,1,0.6,-8
"319",10350,2,4,-9,-0.42
"320",10351,3,-7,-1.73,-8
"321",10352,-8,-8,-1.16,0.7
"322",10353,2,-7,0.03,0.7
"323",10354,3,2,1.16,0.12
"324",10355,5,7,0.6,1.82
"325",10356,2,2,-1.73,-1.54
"326",10357,3,3,-0.53,-0.96
"327",10359,-8,-8,0.6,0.7
"328",10360,2,4,-8,-1.54
"329",10361,2,2,0.6,0.7
"330",10362,2,-7,-1.16,-1.54
"331",10363,7,7,-0.57,0.7
"332",10364,3,2,1.76,1.82
"333",10365,4,5,-0.57,0.7
"334",10366,2,2,1.76,1.82
"335",10367,-8,-8,1.76,-1.54
"336",10368,-8,-8,-8,1.82
"337",10369,3,2,0.6,1.82
"338",10372,7,7,1.76,-8
"339",10373,3,4,1.76,1.24
"340",10374,2,2,0,0.16
"341",10375,3,2,-1.73,-1.54
"342",10376,7,4,0.6,-1.54
"343",10377,2,-7,0.06,-8
"344",10378,1,1,-1.13,-0.96
"345",10379,5,4,0.6,0.12
"346",10380,-8,-8,-8,-1.54
"347",10381,-8,-8,-1.73,0.16
"348",10383,4,5,0.6,1.82
"349",10384,2,-7,0.6,0.75
"350",10385,4,5,1.76,1.24
"351",10386,5,4,-0.57,-0.42
"352",10387,3,-7,-1.73,-0.96
"353",10388,2,2,-0.57,-8
"354",10389,4,4,1.76,-8
"355",10390,5,5,1.19,0.66
"356",10391,2,-7,1.76,0.7
"357",10392,3,4,-0.53,-1.54
"358",10393,4,5,-1.13,-1.54
"359",10394,4,4,0.6,0.7
"360",10395,-8,-8,0.6,0.12
"361",10396,-8,-8,1.76,1.82
"362",10397,5,-7,0.63,0.12
"363",10398,3,3,0.6,-1.54
"364",10399,2,4,-1.73,-1.54
"365",10400,-8,-8,0.6,1.82
"366",10401,-8,-8,0,-9
"367",10402,5,-7,1.16,1.82
"368",10403,2,2,0.03,-1.54
"369",10404,-8,-8,-0.57,-1.54
"370",10405,-8,-8,0.6,-8
"371",10406,2,-7,-1.13,-0.42
"372",10408,2,1,0.03,-0.42
"373",10409,5,3,0.6,0.7
"374",10410,3,2,-1.73,-1.54
"375",10411,5,5,0.63,1.24
"376",10412,1,2,0.6,0.7
"377",10413,1,-7,-8,-1.54
"378",10414,2,2,0.6,0.16
"379",10415,-8,-8,0.6,0.16
"380",10416,-8,-8,-0.57,-0.42
"381",10417,7,-7,1.76,1.82
"382",10418,-8,-8,-0.6,-8
"383",10419,4,2,1.76,-8
"384",10421,-8,-8,-1.13,-8
"385",10422,3,-7,-0.57,-0.42
"386",10423,2,4,1.19,1.82
"387",10424,1,3,0.6,0.16
"388",10425,2,2,1.16,1.82
"389",10426,3,2,-0.57,-0.42
"390",10427,-8,-8,-8,1.24
"391",10428,2,2,-0.57,-8
"392",10429,2,2,1.76,1.28
"393",10430,4,4,0.6,-0.42
"394",10431,2,-7,0.03,0.12
"395",10432,-8,-8,0,0.16
"396",10433,3,3,-0.57,-0.42
"397",10434,3,4,-0.57,-0.42
"398",10435,2,2,-0.57,-0.42
"399",10436,4,5,-0.57,0.7
"400",10437,5,5,0,0.7
"401",10438,-8,-8,-8,0.75
"402",10439,2,-7,-1.73,-0.42
"403",10440,4,-7,-1.73,-8
"404",10441,3,2,0.6,1.82
"405",10442,1,1,-0.57,-0.42
"406",10443,4,7,-1.16,-1.54
"407",10444,2,-7,-0.57,-1.54
"408",10445,4,2,1.19,0.16
"409",10446,-8,-8,-1.73,0.7
"410",10447,2,2,-0.57,-0.37
"411",10448,4,3,1.76,0.7
"412",10449,5,5,-0.57,-1.54
"413",10450,1,1,1.19,-0.42
"414",10451,1,1,0.6,0.12
"415",10452,2,2,-0.57,0.7
"416",10453,4,-7,-0.57,-8
"417",10454,-8,-8,-8,0.16
"418",10456,2,2,1.76,1.24
"419",10457,4,4,-1.73,-1.54
"420",10458,3,2,0.03,1.28
"421",10459,4,-7,-1.73,0.16
"422",10460,2,-7,-0.57,-0.42
"423",10461,4,2,-1.73,-0.42
"424",10463,-8,-8,-8,-0.42
"425",10464,4,4,0.6,-8
"426",10465,3,2,-1.73,-0.42
"427",10466,-8,-8,-1.13,0.7
"428",10467,3,-7,0.6,0.7
"429",10468,4,2,-0.57,0.16
"430",10469,-8,-8,-9,-1.54
"431",10471,2,-7,1.16,-8
